Team,Player Name,Primary Shoe Brand,Primary Shoe Model,List of All Shoes
New York Knicks,OG Anunoby,SKECHERS,SKX Nexus,"{('Nike', 'Kyrie 6'), ('Nike', 'Kyrie Infinity (Kyrie 8)'), ('Adidas', 'Crazy BYW 2.0'), ('Nike', 'Kyrie 5'), ('Nike', 'LeBron 19 Low'), ('Nike', 'LeBron 17'), ('Nike', 'LeBron NXXT Gen'), ('Nike', 'Kobe AD NXT FF'), ('Nike', 'KD 16'), ('Adidas', 'Exhibit A'), ('Nike', 'LeBron NXXT Gen AMPD'), ('Nike', 'G.T. Hustle 2'), ('Nike', 'Kyrie 4'), ('Nike', 'LeBron NXXT Gen AMPD USC'), ('Nike', 'LeBron 18 Low'), ('Nike', 'LeBron XXI'), ('SKECHERS', 'SKX Nexus')}"
New York Knicks,Delon Wright,Nike,Kobe 6 Italian Camo,"{('Nike', 'Kobe 7'), ('Nike', 'KD 15'), ('Nike', 'Kobe X Low'), ('Nike', 'Kobe 6'), ('Nike', 'Air Zoom Generation (LeBron 1)'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Under Armour', 'Curry Two'), ('Nike', 'Kyrie 6'), ('Nike', 'Kobe 5 Chaos'), ('Under Armour', 'Curry 5'), ('Nike', 'Kobe 5'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Kobe XI Low'), ('Nike', 'PG 6'), ('Nike', 'Kyrie Infinity (Kyrie 8)'), ('Nike', 'Kyrie 7'), ('Nike', 'Ja 1'), ('Nike', 'Kobe 6 Italian Camo'), ('Under Armour', 'Curry 6'), ('Nike', 'Kyrie Flytrap 6'), ('Under Armour', 'Curry 3Zer0 II')}"
Philadelphia 76ers,Jared McCain,Jordan,Air  39,set()
Philadelphia 76ers,Jalen Hood-Schifino,Adidas,adizero Select 2.0,"{('Adidas', 'Gil Zero'), ('Adidas', 'Trae Young 3'), ('Adidas', 'Dame 8'), ('Adidas', 'adizero Select 2.0')}"
Philadelphia 76ers,Quentin Grimes,Nike,Kobe 5,"{('Nike', 'Kobe 6 Protro'), ('Adidas', 'Pro Bounce 2018 Low'), ('Nike', 'Kobe 5 Bruce Lee'), ('Jordan', 'Air  34'), ('Nike', 'Kobe 6 Italian Camo'), ('Nike', 'Kobe 6 Sail All-Star'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe XI Low')}"
Philadelphia 76ers,Jeff Dowtin Jr.,Nike,Kyrie 6,"{('Nike', 'Kyrie 6'), ('Nike', 'Ja 1')}"
Philadelphia 76ers,Ricky Council IV,Anta,KAI 1,"{('Anta', 'KAI 1 Mothers Day'), ('Nike', 'Book 1'), ('New Balance', 'Two WXY 4'), ('Nike', 'KD 4'), ('Anta', 'Shock Wave 5 Pro'), ('Anta', 'KAI 1'), ('Anta', 'KAI 1 Triple White'), ('Nike', 'KD 16'), ('Nike', 'Kobe 6'), ('Jordan', 'Luka 1'), ('Anta', 'Shock Wave 5 Pro Sun'), ('Nike', 'KD 15'), ('Anta', 'KAI 1 Yin Triple Black'), ('Anta', 'GH5')}"
Philadelphia 76ers,Lonnie Walker IV,Adidas,Harden Vol. 8,"{('Adidas', 'Harden Stepback 2'), ('Adidas', 'Harden Vol. 3'), ('Adidas', 'D Rose 1.5 Low'), ('Adidas', 'Harden Vol. 8'), ('Adidas', 'Exhibit A'), ('Adidas', 'Crazy 1'), ('Adidas', 'Harden Vol. 7'), ('Adidas', 'Harden Vol. 4'), ('Adidas', 'Harden B/E 3')}"
Philadelphia 76ers,Andre Drummond,Nike,LeBron XX Miami Heat,"{('Nike', 'Book 1'), ('Nike', 'LeBron XX Miami Heat'), ('Jordan', 'Air  10 Woodland Camo'), ('Nike', 'KD 14'), ('Jordan', 'Air  10'), ('Jordan', 'Jorda Dub Zero'), ('Nike', 'Air Force Max Low'), ('Jordan', 'Extra.Fly'), ('Nike', 'LeBron XX'), ('Jordan', 'Dub Zero'), ('Jordan', 'Air  10 Retro'), ('Nike', 'LeBron 22')}"
Philadelphia 76ers,Eric Gordon,Adidas,adizero Select 2.0,"{('Adidas', 'Pro Bounce 2019 Low'), ('Adidas', 'Pro Bounce 2018 Low'), ('Adidas', '2015 Crazylight Boost Primeknit'), ('Adidas', 'Crazy Explosive 2017'), ('Adidas', 'BYW Select'), ('Adidas', 'adizero Select 3.0'), ('Adidas', 'Crazylight Boost'), ('Adidas', 'Exhibit A'), ('Adidas', 'OwnTheGame'), ('Adidas', 'Pro Boost'), ('Adidas', 'Crazy Explosive'), ('Adidas', 'adizero Select 2.0'), ('Adidas', '2015 Crazylight Boost Primeknit Mid'), ('Adidas', 'Pro N3xt 2021')}"
Philadelphia 76ers,Guerschon Yabusele,Adidas,D.O.N. Issue 6,"{('Adidas', 'D.O.N. Issue 6 Like Water'), ('Adidas', 'D.O.N. Issue 6'), ('Adidas', 'D.O.N Issue 6 Triple White'), ('Adidas', 'Harden Vol. 8'), ('Adidas', 'Dame 4'), ('Adidas', 'Harden Vol. 7')}"
Philadelphia 76ers,Jared Butler,Nike,Kobe 6 Reverse Grinch,"{('Nike', 'Kobe 6 White Del Sol'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Puma', 'All-Pro Nitro'), ('Nike', 'Kyrie 5'), ('Nike', 'Kobe 6 Italian Camo'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 5'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Kobe 6'), ('Nike', 'Air Zoom GT Cut'), ('Nike', 'Kobe 6 Grinch')}"
Philadelphia 76ers,Justin Edwards,Nike,Kobe 6 Grinch,"{('Nike', 'Kobe 5 Protro Year of the Mamba'), ('Nike', 'Kobe 6 WNBA'), ('Nike', 'Kobe 5 Zebra'), ('Nike', 'Kobe 6 Sail All-Star'), ('Nike', 'Kobe 4 Protro Philly'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 5 X-Ray'), ('Nike', 'Kobe 5 Undefeated')}"
Philadelphia 76ers,Kelly Oubre Jr.,Converse,All Star BB Trilliant CX,"{('Converse', 'All Star BB Evo Low'), ('Converse', 'All Star BB Shift Mid'), ('Converse', 'All Star BB Shift'), ('Converse', 'All Star BB Trilliant CX'), ('Converse', 'All Star BB Prototype CX')}"
Philadelphia 76ers,Adem Bona,Adidas,adizero Select 2.0,"{('Nike', 'G.T. Hustle 3'), ('Adidas', 'adizero Select 2.0'), ('Nike', 'Sabrina 2')}"
Philadelphia 76ers,Paul George,Nike,G.T. Cut Academy,"{('Nike', 'PG 2'), ('Nike', 'PG 1'), ('Nike', 'Hyperdunk 2015 PE'), ('Nike', 'G.T. Cut Academy By You'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe X Low'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe VII'), ('Nike', 'Kobe 8'), ('Nike', 'Hyperdunk 2015'), ('Nike', 'PG 1 PE'), ('Nike', 'Zoom HyperRev 2015 PE'), ('Nike', 'Kobe 5'), ('Nike', 'PG 2.5'), ('Nike', 'HyperChase PE'), ('Nike', 'PG 6'), ('Nike', 'Hyperdunk 2015 Low'), ('Nike', 'G.T. Cut Academy'), ('Nike', 'Kobe X')}"
Philadelphia 76ers,Tyrese Maxey,New Balance,Hesi Low V2,"{('New Balance', 'Two WXY 4'), ('Nike', 'KD 12'), ('Nike', 'Kobe 5 Protro'), ('New Balance', 'Hesi Low V2 Aime Leon Dore Pristine'), ('New Balance', 'Hesi Low V2'), ('New Balance', 'Two Wxy V3'), ('Nike', 'Air Zoom GT Cut')}"
Philadelphia 76ers,Alex Reese,Nike,Sabrina 1,set()
Philadelphia 76ers,Kyle Lowry,Adidas,D.O.N. Issue 6,"{('Adidas', 'CrazyLight Boost 2016 Low'), ('Adidas', '2015 Crazylight Boost Primeknit'), ('Adidas', 'D Rose 1.5 Low'), ('Adidas', 'AE1'), ('Adidas', 'Trae Young 1'), ('Adidas', 'Crazylight Boost Low 2016'), ('Adidas', 'Crazylight Boost'), ('Adidas', 'Crazy Explosive Low 2017'), ('Adidas', 'Crazylight Boost Low 2016 PE'), ('Adidas', 'Crazy Explosive Low'), ('Adidas', 'Pro Bounce'), ('Adidas', 'Gil Zero'), ('Adidas', 'D Rose Son of Chi'), ('Adidas', 'Harden Vol. 4'), ('Adidas', 'D.O.N. Issue 5')}"
Toronto Raptors,RJ Barrett,Puma,All-Pro Nitro,"{('Puma', 'Rise Nitro'), ('Nike', 'LeBron 15'), ('Nike', 'Kyrie 5'), ('Puma', 'Fusion Nitro'), ('Nike', 'Kyrie 4'), ('Puma', 'Clyde Hardwood'), ('Puma', 'Clyde All-Pro')}"
Toronto Raptors,Immanuel Quickley,Nike,Kobe 6,"{('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe 6 WNBA'), ('Nike', 'PG 5'), ('Nike', 'KD 13'), ('Nike', 'Kobe 5'), ('Nike', 'LeBron XX'), ('Nike', 'Kobe 6'), ('Nike', 'Zoom Freak 3'), ('Nike', 'Air Zoom GT Cut')}"
Toronto Raptors,Jamal Shead,Nike,Sabrina 2 Mirrored,"{('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Sabrina 2 White Noise'), ('Nike', 'Sabrina 2 Court Vision'), ('Nike', 'Sabrina 2 Mirrored'), ('Rigorer', 'AR-1'), ('Adidas', 'Fear of God II'), ('Nike', 'Sabrina 2')}"
Toronto Raptors,Ja'Kobe Walter,Jordan,Air  39,"{('Jordan', 'Tatum 3 6th Man'), ('Jordan', 'Air  39 Sol'), ('Jordan', 'Tatum 3'), ('Jordan', 'Air  39')}"
Toronto Raptors,Gradey Dick,Adidas,Harden Vol. 7,"{('Adidas', 'Harden Vol. 3'), ('Adidas', 'D Rose 1.5 Low'), ('Adidas', 'D.O.N Issue 6 Triple White'), ('Adidas', 'Harden Vol. 7'), ('Adidas', 'Dame Certified'), ('Adidas', 'adizero Select 3.0')}"
Toronto Raptors,Scottie Barnes,Nike,Kyrie Infinity (Kyrie 8),"{('Nike', 'Kyrie 6'), ('Nike', 'Kyrie Infinity (Kyrie 8)'), ('Nike', 'Kyrie 7'), ('Nike', 'Kyrie 4 Kix'), ('Nike', 'Kyrie 5'), ('Nike', 'Kyrie 2'), ('Nike', 'Kyrie 4'), ('Nike', 'G.T. Hustle 2'), ('Nike', 'Kyrie S2 Hybrid'), ('Nike', 'Kyrie 7 Preheat Soundwave'), ('Nike', 'KD 3'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Air Zoom GT Cut'), ('Nike', 'Kyrie Low 4')}"
Toronto Raptors,Jonathan Mogbo,Serious Player Only,Player 1,"{('Serious Player Only', 'Player 1'), ('Serious Player Only', 'Player 1 Plus Glaze')}"
Toronto Raptors,Garrett Temple,Nike,Book 1 Halloween,"{('Nike', 'Book 1 The Nightmare Before Christmas'), ('Nike', 'Book 1'), ('Nike', 'Book 1 Halloween'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'KD 12'), ('Nike', 'Kobe A.D.'), ('Nike', 'KD 14'), ('Nike', 'KD 16'), ('Nike', 'Kobe 6'), ('Nike', 'Book 1 Sedona'), ('Nike', 'KD 17'), ('Nike', 'KD 13'), ('Nike', 'PG 2.5'), ('Nike', 'KD 17 N7'), ('Nike', 'KD 15'), ('Nike', 'Kobe 9'), ('Nike', 'Zoom Freak 3')}"
Toronto Raptors,Orlando Robinson,Nike,Kobe 5 Protro Bruce Lee Alternate,"{('Jordan', 'Air  37 Low'), ('Nike', 'KD 4'), ('Nike', 'Ja 1'), ('Nike', 'LeBron NXXT Gen'), ('Adidas', 'AE1'), ('Jordan', 'Zoom Separate'), ('Jordan', 'One Take 3'), ('Jordan', 'Air  36'), ('Nike', 'Kobe 5'), ('Nike', 'KD 3')}"
Toronto Raptors,Jakob Poeltl,Nike,Kyrie 7,"{('Nike', 'Hyperdunk X'), ('Nike', 'Kyrie 7'), ('Nike', 'Kyrie Low 4'), ('Nike', 'Hyperdunk 2016')}"
Toronto Raptors,Brandon Ingram,Jordan,Air  39,"{('Jordan', 'Air  38 Low'), ('Adidas', 'T-Mac Millennium'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kyrie 7'), ('Jordan', 'Zoom Separate'), ('Adidas', 'BYW X'), ('Nike', 'KD 14'), ('Adidas', 'Crazylight Boost Low 2016'), ('Adidas', 'Crazy Explosive Low'), ('Jordan', 'Air  37'), ('Adidas', 'Zoneboost'), ('Nike', 'KD 15'), ('Jordan', 'Air  38')}"
Toronto Raptors,Chris Boucher,Puma,MB.01,"{('Puma', 'MB.03'), ('Nike', 'PG 4'), ('Nike', 'Zoom LeBron Soldier 12'), ('Puma', 'Playmaker Pro Mid'), ('Nike', 'KD 11'), ('Puma', 'MB1'), ('Puma', 'Triple Mid'), ('Puma', 'Court Rider'), ('Nike', 'LeBron Soldier 13'), ('Puma', 'MB.04'), ('Puma', 'MB.02'), ('Puma', 'Court Rider Chaos'), ('Puma', 'Scoot 1'), ('Puma', 'MB.01 Low')}"
Toronto Raptors,Ulrich Chomche,New Balance,Fresh Foam BB v2,set()
Toronto Raptors,Ochai Agbaji,Nike,Kyrie 5,"{('Nike', 'Freak 5'), ('Nike', 'Kyrie 5'), ('Nike', 'Kyrie 7'), ('Nike', 'KD 16'), ('Nike', 'KD 3'), ('Nike', 'KD 15')}"
Toronto Raptors,A.J. Lawson,Nike,Kobe 6 Reverse Grinch,"{('Nike', 'PG 6'), ('Nike', 'Ja 1'), ('Nike', 'Kobe 6 Italian Camo'), ('Nike', 'Zoom Freak 4'), ('Nike', 'LeBron XX'), ('Nike', 'Sabrina 1'), ('Nike', 'Kobe 6'), ('Nike', 'PG 5')}"
Toronto Raptors,Jamison Battle,Nike,Sabrina 2,"{('Nike', 'Sabrina 2 Trust the Game'), ('Nike', 'Sabrina 2')}"
Atlanta Hawks,Garrison Mathews,Nike,Book 1 Rattlesnake,"{('Nike', 'Book 1'), ('Nike', 'PG 6'), ('Nike', 'KD 12'), ('Puma', 'Court Rider 2.0'), ('Nike', 'Zoom Freak 4'), ('Nike', 'LeBron XXI'), ('Nike', 'Renew Elevate 2')}"
Atlanta Hawks,Keaton Wallace,Nike,Book 1 The Nightmare Before Christmas,"{('Nike', 'Book 1'), ('Nike', 'Book 1 Rattlesnake')}"
Atlanta Hawks,Terance Mann,SKECHERS,SKX Nexus,"{('SKECHERS', 'SKX Float'), ('Anta', 'Shock Wave 4 Pro'), ('SKECHERS', 'SKX Resagrip Low'), ('Nike', 'Kobe AD Exodus'), ('Anta', 'Shock The Game 6'), ('Anta', 'Badao 2.0'), ('Anta', 'Z-Up 1'), ('Nike', 'Kyrie Low 3'), ('Anta', 'Shock The Game 5'), ('SKECHERS', 'SKX Resagrip'), ('SKECHERS', 'SKX Nexus'), ('Nike', 'Kyrie Low 2')}"
Atlanta Hawks,Dominick Barlow,Nike,Kobe 9 Elite Low Protro Halo,"{('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 9 Low'), ('Nike', 'Kobe A.D.'), ('Nike', 'KD 14'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 4 Protro Girl Dad'), ('Nike', 'LeBron XX'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 6'), ('Nike', 'Kyrie Low 4'), ('Nike', 'Air Zoom GT Cut')}"
Atlanta Hawks,Onyeka Okongwu,Adidas,Harden Vol. 8,"{('Nike', 'LeBron 17'), ('Adidas', 'Harden Vol. 8'), ('Adidas', 'Dame 8 EXTPLY'), ('Adidas', 'Dame 6'), ('Adidas', 'Dame 8'), ('Adidas', 'Dame 9'), ('Adidas', 'Dame 4'), ('Adidas', 'Dame 7')}"
Atlanta Hawks,Mouhamed Gueye,Nike,Book 1 Haven,"{('Nike', 'Book 1'), ('Nike', 'Kobe 9 Low'), ('Nike', 'JA 2 Nightmare'), ('Nike', 'Book 1 Rattlesnake'), ('Nike', 'LeBron XX'), ('Nike', 'Sabrina 1')}"
Atlanta Hawks,Zaccharie Risacher,Nike,Kobe 6 Sail All-Star,"{('Nike', 'Book 1'), ('Nike', 'Kobe 6 Sail All-Star'), ('Nike', 'G.T. Hustle 2'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 6'), ('Nike', 'Book 1 Sunrise')}"
Atlanta Hawks,Dyson Daniels,Adidas,Dame 9,"{('Nike', 'Freak 6 Roses'), ('Nike', 'Freak 5'), ('Nike', 'Giannis Immortality 2'), ('Nike', 'Freak 6'), ('Nike', 'Zoom Freak 4'), ('Nike', 'Sabrina 1'), ('Nike', 'Kobe 6'), ('Nike', 'Zoom Freak 3')}"
Atlanta Hawks,Kevon Harris,Nike,Kobe 6,"{('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 8'), ('Nike', 'LeBron XX'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Kobe XI Low')}"
Atlanta Hawks,Georges Niang,Nike,Freak 6,"{('Nike', 'Freak 6 Roses'), ('Nike', 'Freak 5'), ('Nike', 'Kyrie 4'), ('Nike', 'Freak 6'), ('Nike', 'Zoom Freak 1'), ('Nike', 'Zoom Freak 2'), ('Nike', 'Zoom Freak 4'), ('Nike', 'Freak 6 Humility'), ('Nike', 'PG 5')}"
Other sneakers worn by Larry Nance Jr.,Larry Nance Jr.,Nike,LeBron 9,"{('Nike', 'LeBron 9'), ('Nike', 'Zoom Lebron Soldier 9'), ('Adidas', 'Explosive Bounce'), ('Adidas', 'Mad Bounce'), ('Jordan', 'Air  10'), ('Nike', 'Zoom Lebron 3'), ('Nike', 'LeBron 2'), ('Nike', 'LeBron 8'), ('Nike', 'LeBron 7'), ('Nike', 'PG 1'), ('Adidas', 'Crazy Explosive'), ('Jordan', 'Air  13 Retro'), ('Adidas', 'Marquee Boost'), ('Nike', 'G.T. Jump 2'), ('Nike', 'LeBron Soldier 11')}"
Atlanta Hawks,Kobe Bufkin,Nike,Kobe XI Low,"{('Nike', 'Kobe XI Low'), ('Nike', 'Air Zoom G.T. Cut 3')}"
Atlanta Hawks,Caris LeVert,Anta,KAI 1 Yin Triple Black,"{('Anta', 'KAI 1 Team'), ('Jordan', 'Luka 2'), ('Nike', 'Kyrie 6'), ('Nike', 'Kyrie Infinity (Kyrie 8)'), ('Nike', 'Kyrie 5'), ('Jordan', 'Air  36'), ('Anta', 'KAI 1'), ('Anta', 'KAI 1 Triple White'), ('Jordan', 'Air  35'), ('Nike', 'Kyrie 2'), ('Anta', 'KAI 1 Kai Feng'), ('Nike', 'Kyrie Low 5'), ('Anta', 'KAI 1 Yin Triple Black'), ('Nike', 'Kyrie Low 2')}"
Atlanta Hawks,Daeqwon Plowden,Nike,KD 3 Aunt Pearl,"{('Nike', 'KD 4 Galaxy')}"
Atlanta Hawks,Trae Young,Jordan,Air  39,"{('Adidas', 'Trae Unlimited 2'), ('Adidas', 'Trae Young 3'), ('Jordan', 'Air  39 Croix'), ('Adidas', 'Harden B/E 2'), ('Nike', 'Kyrie 3'), ('Jordan', 'Air  39'), ('Adidas', 'Trae Unlimited'), ('Jordan', 'Air  39 Sol'), ('Adidas', 'Trae Young 2.0')}"
Atlanta Hawks,Jalen Johnson,Nike,G.T. Hustle 3,"{('Nike', 'Book 1'), ('Nike', 'G.T. Hustle 3'), ('Nike', 'Kyrie 7'), ('Nike', 'LeBron NXXT Gen'), ('Nike', 'LeBron XX'), ('Nike', 'LeBron XXI')}"
Atlanta Hawks,Clint Capela,Nike,G.T. Hustle 3,"{('Nike', 'G.T. Hustle 3 Paige Bueckers'), ('Nike', 'G.T. Hustle 3'), ('Nike', 'Freak 5'), ('Nike', 'Kyrie 7'), ('Nike', 'Kobe AD Exodus'), ('Nike', 'Kobe A.D.'), ('Nike', 'Kobe 5 Protro'), ('Nike', 'Kyrie Low 1'), ('Nike', 'Kobe 5'), ('Nike', 'Zoom Freak 2'), ('Nike', 'Hyperdunk X Low'), ('Nike', 'Kobe X'), ('Nike', 'Zoom Freak 4'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Zoom Freak 3'), ('Nike', 'Sabrina 2'), ('Nike', 'Kyrie Low 2')}"
Atlanta Hawks,VÃ­t KrejÄÃ­,Nike,Kobe 5 X-Ray,"{('Nike', 'Kobe 4 Protro'), ('Nike', 'Ja 1'), ('Nike', 'Kobe 8 Venice Beach'), ('Nike', 'Kobe 4 Protro Girl Dad'), ('Nike', 'Zoom Freak 4'), ('Nike', 'LeBron XX'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 6'), ('Nike', 'Zoom Freak 3')}"
Charlotte Hornets,Taj Gibson,Nike,Lebron XXI James Gang,"{('Nike', 'Book 1'), ('Adidas', 'D Lillard 2.0'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Kobe A.D.'), ('Nike', 'Kyrie 5'), ('Adidas', 'D Rose 5 Boost'), ('Nike', 'Kobe 8 Mambacita'), ('Nike', 'Lebron XXI James Gang'), ('Nike', 'KD 16'), ('Nike', 'Kyrie 4'), ('Nike', 'G.T. Hustle 2'), ('Nike', 'LeBron XX'), ('Nike', 'LeBron XXI'), ('Nike', 'KD 15'), ('Nike', 'Kyrie Low 4')}"
Charlotte Hornets,Seth Curry,Under Armour,Curry 1 Low,"{('Under Armour', 'Curry 1 Low FloTro'), ('Under Armour', 'Spawn 4'), ('Under Armour', 'Curry Splash 24 Curry Jam'), ('Under Armour', 'Curry One Low'), ('Under Armour', 'Curry 3'), ('Under Armour', 'Curry Fox 1'), ('Under Armour', 'Curry 12'), ('Under Armour', 'Curry 1 Low'), ('Under Armour', 'Curry 6'), ('Under Armour', 'Spawn 3'), ('Under Armour', 'Curry Flow 8'), ('Under Armour', 'ClutchFit Drive Low 2'), ('Under Armour', 'Curry 7'), ('Under Armour', 'Curry Splash 24 Suede'), ('Under Armour', 'Curry One'), ('Under Armour', 'Curry 11'), ('Under Armour', 'Curry Splash 24')}"
Charlotte Hornets,Tre Mann,Nike,Book 1,"{('Nike', 'PG 6'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 7'), ('Nike', 'Air Zoom GT Cut'), ('Nike', 'Kobe 8'), ('Nike', 'Kyrie Low 4'), ('Nike', 'KD 3'), ('Nike', 'Zoom KD12'), ('Nike', 'KD 15'), ('Converse', 'All Star BB Shift'), ('Nike', 'Kobe XI Low'), ('Converse', 'All Star BB Trilliant CX'), ('Reebok', 'Answer 4')}"
Charlotte Hornets,Miles Bridges,Nike,Sabrina 2,"{('Nike', 'PG 4'), ('Puma', 'MB.03'), ('Nike', 'LeBron 16'), ('Nike', 'PG 3'), ('Nike', 'Sabrina 2 White Noise'), ('Nike', 'Sabrina 2 Conductor'), ('Nike', 'Sabrina 2 Court Vision'), ('Puma', 'MB.02 Low'), ('Puma', 'MB1'), ('Nike', 'Kobe 8'), ('Nike', 'Sabrina 2 United'), ('Nike', 'KD 15'), ('Nike', 'Sabrina 2')}"
Charlotte Hornets,KJ Simpson,Nike,Book 1 Sunrise,"{('Nike', 'Lebron XXI Conchiolin'), ('Jordan', 'Luka 3 Blurred Vision'), ('Jordan', 'Luka 3'), ('Nike', 'LeBron XXI'), ('Nike', 'Book 1 Sunrise')}"
Charlotte Hornets,Wendell Moore Jr.,Nike,Kobe 8 Mambacita,"{('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Kyrie 7'), ('Nike', 'Air Zoom GT Cut'), ('Nike', 'Kyrie 1'), ('Nike', 'Kobe 6 Italian Camo'), ('Nike', 'Kobe 6 Sail All-Star'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 8 Protro EYBL'), ('Nike', 'Kobe 5'), ('Nike', 'LeBron XX'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Kobe 6'), ('Nike', 'Kyrie Low 4'), ('Nike', 'Zoom Freak 3'), ('Nike', 'Sabrina 2')}"
Charlotte Hornets,Brandon Miller,Nike,Kobe 8 Venice Beach,"{('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 6 WNBA'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 6')}"
