Team,Player Name,Primary Shoe Brand,Primary Shoe Model,List of All Shoes
Washington Wizards,Khris Middleton,Nike,Air Zoom G.T. Cut 3 Turbo,"{('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Zoom Live 2'), ('Nike', 'Hyperdunk 2016 Low'), ('Nike', 'Zoom HyperRev 2016'), ('Nike', 'G.T. Hustle 2'), ('Nike', 'Kobe 5'), ('Nike', 'Hyperdunk X Low'), ('Nike', 'Air Force Max Low'), ('Nike', 'PG 1'), ('Nike', 'Zoom HyperRev 2015'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 5 Protro')}"
Washington Wizards,Bilal Coulibaly,Jordan,Tatum 3 Year of the Snake,"{('Jordan', 'Tatum 3 St. Louis'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Jordan', 'Zion 3'), ('Jordan', 'Tatum 3 Welcome to the Garden Alternate'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Kobe 4 Protro'), ('Jordan', 'Zion 3 Pink Lotus'), ('Jordan', 'Tatum 2 Lemonade'), ('Jordan', 'Tatum 3'), ('Nike', 'Kobe 8'), ('Jordan', 'Tatum 3 6th Man'), ('Jordan', 'Tatum 2'), ('Nike', 'KD 3'), ('Nike', 'Kobe 6'), ('Nike', 'Air Zoom GT Cut'), ('Jordan', 'Tatum 3 Year of the Snake')}"
Washington Wizards,Malcolm Brogdon,Nike,Zoom Freak 1,"{('Nike', 'KD 9')}"
Washington Wizards,Jalen McDaniels,Nike,KD 4 Nerf,"{('Nike', 'LeBron XX'), ('Nike', 'Kobe 1 Protro'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'KD 13'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 5'), ('Nike', 'PG 2.5'), ('Nike', 'KD 3'), ('Nike', 'KD 15'), ('Nike', 'Kobe 6'), ('Nike', 'KD 4 Christmas')}"
Washington Wizards,Tristan Vukcevic,Nike,Kobe 5 Big Stage,"{('Nike', 'Kobe 8'), ('Nike', 'Kobe 8 Venice Beach'), ('Nike', 'Kobe 5'), ('Nike', 'KD 15'), ('Nike', 'LeBron XX'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 6'), ('Nike', 'Zoom Freak 3')}"
Washington Wizards,Bub Carrington,Anta,KAI 1,"{('Nike', 'JA 2 Purple Sky'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Anta', 'KAI 1 Speed Young at Heart'), ('Nike', 'Sabrina 2 White Noise'), ('Anta', 'KAI 1'), ('Nike', 'KD 17'), ('Nike', 'JA 2 Nightmare'), ('741 Performance', 'Rover'), ('Nike', 'Kobe 5'), ('Nike', 'JA 2'), ('Anta', 'KAI 1 Yin Triple Black'), ('Nike', 'Sabrina 2')}"
Chicago Bulls,Nikola Vucevic,Nike,Sabrina 2 By You,"{('Nike', 'PG 6'), ('Nike', 'Kyrie 7'), ('Nike', 'KD 14'), ('Nike', 'G.T. Hustle 2'), ('Nike', 'Zoom Freak 1'), ('Nike', 'Lebron Soldier 10'), ('Nike', 'Zoom Soldier VIII'), ('Nike', 'Sabrina 2')}"
Chicago Bulls,Lonzo Ball,Nike,Kobe 6 All-Star,"{('Nike', 'Kobe 6 Mambacita Sweet 16'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 5 Black Mamba Collection Fade to Black'), ('Big Baller Brand', 'ZO2.19'), ('Nike', 'Kobe 5 Big Stage'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 5 Protro')}"
Chicago Bulls,E.J. Liddell,Nike,Book 1,"{('Nike', 'KD 16'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 8'), ('Nike', 'KD 3'), ('Nike', 'LeBron XXI'), ('Nike', 'LeBron Witness 8')}"
Chicago Bulls,Jahmir Young,,,set()
Chicago Bulls,Jalen Smith,Nike,Sabrina 2 White Noise,"{('Nike', 'Book 1'), ('Nike', 'PG 6'), ('Nike', 'Kyrie 6'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Sabrina 2 White Noise'), ('Nike', 'Sabrina 2 Mirrored'), ('Nike', 'Kobe 5'), ('Nike', 'Sabrina 2 Trust the Game'), ('Nike', 'Kobe 6'), ('Nike', 'Sabrina 2')}"
Chicago Bulls,Jevon Carter,Nike,Air Zoom G.T. Cut 3,"{('Nike', 'G.T. Hustle 2'), ('Nike', 'Zoom Freak 2'), ('Nike', 'LeBron XXI'), ('Nike', 'Kyrie 8'), ('Nike', 'Giannis Immortality'), ('Nike', 'Kobe AD Mid'), ('Nike', 'Sabrina 1'), ('Nike', 'Air Zoom GT Cut'), ('Nike', 'LeBron NXXT Gen'), ('Nike', 'Kobe A.D. Low 2017'), ('And1', 'Attack Low'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Book 1'), ('Nike', 'Freak 5'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Ja 1'), ('Nike', 'Air Zoom G.T. Cut 3 Electric'), ('Nike', 'Kyrie Low 3'), ('And1', 'Attack 2.0')}"
Chicago Bulls,Josh Giddey,Nike,Kobe 6,"{('Nike', 'Kobe 6 Protro'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 9 Low'), ('Nike', 'Kobe A.D. Low 2017'), ('Nike', 'Kobe 4 Protro Wizenard'), ('Anta', 'GH5'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 4'), ('Nike', 'Kobe X Low'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe XI Low')}"
Chicago Bulls,Matas Buzelis,Reebok,Engine A,set()
Chicago Bulls,Talen Horton-Tucker,Jordan,Air  39,"{('Jordan', 'Air  38 Low'), ('Jordan', 'Air  37 Low'), ('Jordan', 'Luka 2'), ('Jordan', 'Air  36'), ('Jordan', 'Zoom Separate'), ('Jordan', 'Air  36 Low'), ('Jordan', 'Air  39'), ('Jordan', 'Tatum 2'), ('Jordan', 'One Take 4'), ('Jordan', 'Air  37'), ('Jordan', 'Air  39 Sol'), ('Jordan', 'Air  38'), ('Jordan', 'Zion 3')}"
Chicago Bulls,Coby White,Nike,LeBron XX Miami Heat,"{('Adidas', 'Marquee Boost'), ('Jordan', 'CP3.11'), ('Nike', 'LeBron XX'), ('Adidas', 'Pro Bounce 2019'), ('Jordan', 'CP3.12')}"
Chicago Bulls,Tre Jones,Nike,JA 2 Nightmare,"{('Nike', 'JA 2 Exposure Iron Grey'), ('Nike', 'JA 2 Tree Topper'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'JA 2 In the Woods'), ('Nike', 'JA 2 Induction'), ('Nike', 'JA 2 Foundation'), ('Nike', 'Kyrie Infinity'), ('Nike', 'Kyrie 4'), ('Nike', 'JA 2 Nightmare'), ('Nike', 'Kyrie Low 3'), ('Nike', 'Sabrina 1'), ('Nike', 'JA 2'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Kobe 6')}"
Chicago Bulls,Julian Phillips,Nike,Kobe 6 Reverse Grinch,"{('Nike', 'Kobe 6 Mambacita Sweet 16'), ('Nike', 'Kobe 4 Protro Gift of Mamba'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 9 Low'), ('Nike', 'Kobe 6 Italian Camo'), ('Nike', 'Kobe 8 Venice Beach'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 9 EM'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe XI Low')}"
Chicago Bulls,Ayo Dosunmu,Nike,Air Zoom G.T. Cut 2 BHM,"{('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Air Zoom G.T. Cut 2 BHM'), ('Nike', 'G.T. Hustle 2'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 6'), ('Nike', 'Kyrie Low 4'), ('Nike', 'Air Zoom GT Cut')}"
Chicago Bulls,Dalen Terry,Adidas,Fear of God II,"{('Adidas', 'Harden Vol. 9'), ('Adidas', 'BYW Select'), ('Adidas', 'DON Issue #3'), ('Adidas', 'TMAC 2'), ('Adidas', 'unknow 3'), ('Adidas', 'Dame Certified 2.0'), ('Adidas', 'D Rose 1.5 Low'), ('Adidas', 'Harden Vol. 8'), ('Adidas', 'Dame 4'), ('Adidas', 'Gil Zero'), ('Adidas', 'Harden Vol. 8 Eurocamp'), ('Adidas', 'Top Ten 2000'), ('Adidas', 'T-Mac Millennium'), ('Adidas', 'T-MAC Millennium 2'), ('Adidas', 'Crazy 8'), ('Adidas', 'Harden Vol. 9 Cyber Metallic'), ('Adidas', 'adizero Select 2.0'), ('Adidas', 'Dame 8'), ('Adidas', 'Pro Model 2G'), ('Adidas', 'D Rose 1.5'), ('Adidas', 'Harden Vol. 7'), ('Adidas', 'adizero Select 3.0')}"
Chicago Bulls,Patrick Williams,Jordan,Air  39 Sol,"{('Jordan', 'Air  37'), ('Nike', 'KD 15'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 4 Protro Gold Medal'), ('Jordan', 'Air  39 Croix'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'KD 14'), ('Nike', 'Kyrie 2'), ('Jordan', 'Air  39'), ('Nike', 'Kobe 8'), ('Nike', 'Sabrina 1'), ('Jordan', 'Air  38 Low'), ('Nike', 'Kobe 4 Protro Mambacita'), ('Nike', 'KD 16'), ('Nike', 'Kobe 5'), ('Jordan', 'React Elevation'), ('Jordan', 'Air  39 Sol'), ('Nike', 'Kobe 4 Protro Gift of Mamba'), ('Nike', 'Kobe 9 Low'), ('Jordan', 'Air  36'), ('Nike', 'Kobe 6 Italian Camo')}"
Chicago Bulls,Emanuel Miller,,,set()
Chicago Bulls,Zach Collins,Nike,KD 17,"{('Nike', 'LeBron 17'), ('Nike', 'G.T. Hustle 3'), ('Nike', 'LeBron 19'), ('Nike', 'KD 17 Late Night'), ('Nike', 'KD 17'), ('Nike', 'Air Zoom GT Jump'), ('Nike', 'G.T. Jump 2'), ('Nike', 'KD 17 Wolf Grey')}"
Chicago Bulls,Kevin Huerter,Nike,Kobe 4 Protro Gold Medal,"{('Nike', 'Kobe 4 Protro Gold Medal'), ('Nike', 'PG 6'), ('Under Armour', 'Drive 4'), ('Nike', 'KD 12'), ('Nike', 'KD 11'), ('Nike', 'KD 14'), ('Nike', 'KD 16'), ('Nike', 'KD 17 Late Night'), ('Nike', 'KD 17 Christmas'), ('Nike', 'KD 17'), ('Nike', 'KD 13'), ('Nike', 'Kobe 4 Protro Philly'), ('Nike', 'KD 17 B.A.D.'), ('Nike', 'LeBron XX'), ('Nike', 'KD 17 N7'), ('Nike', 'KD 15'), ('Nike', 'Zoom Freak 3')}"
Cleveland Cavaliers,Darius Garland,New Balance,Hesi Low V2,"{('Nike', 'Kyrie Infinity (Kyrie 8)'), ('Nike', 'Kyrie 7'), ('New Balance', 'Two WXY 4'), ('Nike', 'Kyrie 5'), ('Nike', 'Kyrie 4')}"
Cleveland Cavaliers,Tristan Thompson,Nike,LeBron XX,"{('Nike', 'Zoom LeBron Soldier 12'), ('Nike', 'LeBron XXI Tahitian'), ('Nike', 'LeBron Soldier 13'), ('Nike', 'LeBron 22 Mogul'), ('Nike', 'Zoom LeBron Soldier 14'), ('Nike', 'LeBron XX'), ('Nike', 'LeBron XXI'), ('Nike', 'Lebron Soldier 10'), ('Nike', 'LeBron 22'), ('Nike', 'LeBron Soldier 11')}"
Cleveland Cavaliers,De'Andre Hunter,Nike,Kobe 4 Protro Mambacita,"{('Nike', 'Kobe 4 Protro Del Sol'), ('Nike', 'Giannis Immortality 3'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 4 Protro Mambacita'), ('Nike', 'KD 4'), ('Nike', 'Zoom Freak 1'), ('Nike', 'Zoom Freak 2'), ('Nike', 'PG 2'), ('Nike', 'Zoom Freak 4'), ('Nike', 'Sabrina 1'), ('Nike', 'Kobe X Low'), ('Nike', 'Zoom Freak 3'), ('Nike', 'Sabrina 2')}"
Cleveland Cavaliers,Sam Merrill,Nike,Sabrina 2 White Noise,"{('Nike', 'Kobe 4 Protro Gold Medal'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Kobe 4 Protro Mambacita'), ('Nike', 'Ja 1'), ('Nike', 'PG 5'), ('Nike', 'Kyrie Low 3'), ('Nike', 'Kobe 4 Protro Girl Dad'), ('Nike', 'Zoom Freak 4'), ('Nike', 'LeBron XX'), ('Nike', 'LeBron XXI'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Kobe 6'), ('Nike', 'Air Zoom GT Cut'), ('Nike', 'Sabrina 2')}"
Cleveland Cavaliers,Jarrett Allen,Nike,Kyrie 3,"{('Nike', 'Kyrie 3'), ('Nike', 'Kyrie 7')}"
Cleveland Cavaliers,Evan Mobley,Adidas,Harden Vol. 8,"{('Adidas', 'adizero Select'), ('Adidas', 'Harden Vol. 8'), ('Nike', 'Zoom Freak 2'), ('Adidas', 'Dame 7'), ('Adidas', 'adizero Select 2.0')}"
Cleveland Cavaliers,Javonte Green,Nike,Kobe 8 Black History Month,"{('Jordan', 'Air  Retro 11'), ('Nike', 'Kobe 5 Protro Year of the Mamba'), ('Nike', 'Kobe 6 BHM'), ('Nike', 'Kobe XI 11 Elite Low Achilles Heel'), ('Nike', 'Kobe 7'), ('Nike', 'Kobe 5 Protro Undefeated Hall of Fame'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 4 Protro Gold Medal'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 4 Protro Undefeated'), ('741 Performance', 'Rover'), ('Nike', 'Kobe 4 Protro Philly'), ('Nike', 'Kobe 8'), ('Nike', 'Sabrina 2'), ('Nike', 'Kobe A.D. Low 2017'), ('Nike', 'Kobe 5 Protro Undefeated What If Multi'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe XI Low'), ('Nike', 'Kobe 9 Low'), ('Nike', 'Kobe 9 High Elite')}"
Cleveland Cavaliers,Emoni Bates,Nike,Kyrie 4 Lucky Charms,"{('Nike', 'KD 14'), ('Nike', 'KD 16'), ('Nike', 'Kobe 6'), ('Nike', 'Kyrie 4')}"
Cleveland Cavaliers,Luke Travers,Nike,Sabrina 2 White Noise,"{('Nike', 'Sabrina 2')}"
Cleveland Cavaliers,Max Strus,Nike,Book 1 Forrest Gump Cortez,"{('Nike', 'Book 1 The Nightmare Before Christmas'), ('Li-Ning', 'YuShuai 15'), ('Nike', 'Precision 6'), ('Nike', 'PG 2'), ('Nike', 'Book 1 Forrest Gump Cortez'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 8'), ('Nike', 'Book 1 Rattlesnake'), ('Nike', 'Sabrina 1'), ('Nike', 'Air Zoom GT Cut'), ('Nike', 'Book 1 Python'), ('Nike', 'KD 16'), ('Nike', 'Kobe XI Low'), ('Nike', 'Book 1'), ('Nike', 'PG 6'), ('Nike', 'Book 1 Halloween'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'LeBron XX')}"
Cleveland Cavaliers,Donovan Mitchell,Adidas,D.O.N. Issue 6,"{('Adidas', 'D.O.N. Issue 6 Haribo'), ('Adidas', 'DON Issue #3'), ('Adidas', 'D.O.N. Issue 6'), ('Adidas', 'D.O.N. Issue 4'), ('Adidas', 'D.O.N. Issue 5'), ('Adidas', 'Pro Bounce Low')}"
Cleveland Cavaliers,Dean Wade,Nike,KD 17,"{('Under Armour', 'Flow FUTR X'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'KD 16'), ('Nike', 'KD 17'), ('Nike', 'KD 15'), ('Nike', 'KD 17 Wolf Grey')}"
Cleveland Cavaliers,Isaac Okoro,Holo,IO: 01,"{('Holo', 'Unknow'), ('Nike', 'Kobe 5'), ('Nike', 'KD 15'), ('Under Armour', 'Curry 7'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 5 Protro')}"
Cleveland Cavaliers,Craig Porter Jr.,Anta,KAI 1,"{('Anta', 'KAI 1 Sacred Bond'), ('Nike', 'Ja 1'), ('Anta', 'KAI 1 Speed Tribe'), ('Anta', 'KAI 1'), ('Nike', 'KD Trey 5 X'), ('Nike', 'Zoom Freak 4'), ('Nike', 'Air Max Impact 4'), ('Holo', 'IO: 01')}"
Cleveland Cavaliers,Jaylon Tyson,Nike,Book 1 Forrest Gump Cortez,"{('Nike', 'Book 1'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Book 1 Sunset'), ('Nike', 'Book 1 Python'), ('Nike', 'JA 2'), ('Nike', 'Book 1 Sedona'), ('Nike', 'Kobe 5'), ('Nike', 'Book 1 Rattlesnake'), ('Nike', 'PG 1'), ('Nike', 'Book 1 Forrest Gump Cortez'), ('Nike', 'Kobe 6')}"
Cleveland Cavaliers,Ty Jerome,Nike,Book 1 The Nightmare Before Christmas,"{('Nike', 'PG 6'), ('Nike', 'Kobe 4 Protro Gift of Mamba'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Freak 5'), ('Nike', 'Kyrie 7'), ('Nike', 'Air Zoom GT Run'), ('Nike', 'Kobe 1 Protro'), ('Nike', 'Sabrina 2 White Noise'), ('Nike', 'Sabrina 2')}"
Detroit Pistons,Lindy Waters III,Nike,Kobe 6 Sail All-Star,"{('Nike', 'Kobe 6 Mambacita Sweet 16'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'KD 4'), ('Nike', 'KD 16'), ('Nike', 'Kobe 6 Sail All-Star'), ('Nike', 'Sabrina 1'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Kobe 6'), ('Nike', 'Zoom Freak 3'), ('Nike', 'Kobe 6 Reverse Grinch')}"
Detroit Pistons,Daniss Jenkins,Nike,Air Zoom G.T. Cut 3,"{('Nike', 'Kobe 6'), ('Nike', 'KD 17')}"
Detroit Pistons,Jalen Duren,Nike,KD 14,"{('Nike', 'Kyrie 6'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kyrie 7'), ('Nike', 'Kyrie 5'), ('Nike', 'KD 14'), ('Nike', 'KD 16'), ('Nike', 'Kobe 6'), ('Nike', 'KD 17'), ('Nike', 'Kobe 4 Protro Philly'), ('Nike', 'Kyrie S2 Hybrid'), ('Nike', 'PG 2.5'), ('Nike', 'KD 3'), ('Nike', 'Zoom KD12'), ('Nike', 'LeBron XX'), ('Nike', 'LeBron XXI'), ('Nike', 'KD 15')}"
Detroit Pistons,Simone Fontecchio,Nike,KD 17,"{('Nike', 'PG 6'), ('Nike', 'Freak 5'), ('Nike', 'KD 17'), ('Nike', 'Cosmic Unity 2'), ('Nike', 'Freak 6'), ('Nike', 'Zoom Freak 4'), ('Nike', 'LeBron XX'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Kobe 6'), ('Nike', 'Sabrina 2')}"
Detroit Pistons,Marcus Sasser,Jordan,Luka 1,"{('Jordan', 'Tatum 3'), ('Jordan', 'Tatum 2'), ('Jordan', 'Luka 1'), ('Jordan', 'Luka 2')}"
Detroit Pistons,Isaiah Stewart,Xero,Low Unknow 1,"{('Puma', 'RS-Dreamer'), ('Nike', 'KD 16'), ('Nike', 'KD 17'), ('Puma', 'Court Rider 2.0'), ('Puma', 'Stewie 1'), ('Xero', 'Low Unknow 1'), ('Nike', 'KD 15')}"
Detroit Pistons,Ron Harper Jr.,Nike,LeBron NXXT Gen,"{('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe 6')}"
Detroit Pistons,Paul Reed,Nike,Air Zoom G.T. Cut 2,"{('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe A.D.'), ('Nike', 'Kobe 6 Sail All-Star'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 6 All-Star'), ('Nike', 'Air Zoom GT Cut')}"
Detroit Pistons,Ausar Thompson,Nike,G.T. Cut Academy,"{('Nike', 'Book 1'), ('Nike', 'Freak 5'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'KD 16'), ('Nike', 'G.T. Cut Academy'), ('Nike', 'Sabrina 1'), ('Nike', 'Kobe 6'), ('Nike', 'Sabrina 2')}"
Detroit Pistons,Ronald Holland II,Nike,Kobe 5 EYBL,"{('Nike', 'Kobe 5'), ('Nike', 'Kobe 5 Zebra'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 6 WNBA')}"
Detroit Pistons,Jaden Ivey,Nike,Kobe 6,"{('Nike', 'Kobe 6 Protro'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Ja 1'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 6'), ('Nike', 'Air Zoom GT Cut')}"
Detroit Pistons,Cade Cunningham,Nike,Air Zoom G.T. Cut 3,"{('Jordan', 'Air  Retro 11'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Air Zoom GT Cut'), ('Nike', 'Kyrie 3'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe X Low'), ('Nike', 'Sabrina 2'), ('Nike', 'Sabrina 1'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe XI Low'), ('Nike', 'Air Zoom G.T. Cut 3 Turbo')}"
Detroit Pistons,Tim Hardaway Jr.,Jordan,Tatum 3 Zen,"{('Jordan', 'Air  37 Low'), ('Jordan', 'Why Not Zer0.4'), ('Jordan', 'Air  XXX'), ('Jordan', 'Tatum 1'), ('Jordan', 'Heir'), ('Jordan', 'Zion 3'), ('Jordan', 'One Take 3'), ('Jordan', 'Air  39'), ('Jordan', 'One Take 4'), ('Jordan', 'Why Not? Zer0.6'), ('Jordan', 'Jumpman Diamond'), ('Jordan', 'Tatum 3 Welcome to the Garden Alternate'), ('Jordan', 'Tatum 3'), ('Jordan', 'Air  XXXIV'), ('Jordan', 'CP3.X'), ('Jordan', 'Tatum 2'), ('Jordan', 'Why Not? Zer0.5'), ('Jordan', 'Melo M11'), ('Jordan', 'Tatum 3 6th Man'), ('Jordan', 'Air  XX8'), ('Jordan', 'Luka 1'), ('Jordan', 'Air  29')}"
Detroit Pistons,Dennis SchrÃ¶der,Puma,All-Pro Nitro Elite,"{('Puma', 'Rise Nitro'), ('Puma', 'All-Pro Nitro'), ('Nike', 'KD 12'), ('Nike', 'KD 9'), ('Puma', 'All-Pro Nitro Elite'), ('Puma', 'MB.02'), ('Nike', 'Kyrie 1 iD'), ('Puma', 'Fusion Nitro Spectra'), ('Nike', 'PG 1'), ('Puma', 'Clyde All-Pro'), ('Nike', 'Kyrie 1')}"
Detroit Pistons,Tolu Smith,,,set()
Detroit Pistons,Tobias Harris,Nike,Kobe 6 BHM,"{('Nike', 'Kobe 6 BHM'), ('Nike', 'Kobe 5 Protro'), ('Nike', 'G.T. Hustle 2'), ('Nike', 'Kobe AD NXT 360'), ('Nike', 'Kobe 7'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe X Low'), ('Nike', 'Kobe AD Mid'), ('Nike', 'Kobe 4 Protro Gold Medal'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 8'), ('Nike', 'Zoom Soldier VIII'), ('Nike', 'Air Zoom GT Cut'), ('Nike', 'Kyrie Low 4'), ('Nike', 'Kobe 5 Protro Bruce Lee Alternate'), ('Nike', 'Zoom Kobe 6 FTB'), ('Nike', 'Kobe 5'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Book 1'), ('Nike', 'Kobe 6 WNBA'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Kobe A.D.'), ('Nike', 'Kobe 6 Italian Camo'), ('Nike', 'Kyrie Low 3'), ('Nike', 'Lebron Soldier 10'), ('Nike', 'Sabrina 2')}"
Detroit Pistons,Bobi Klintman,Nike,Sabrina 2,"{('Nike', 'PG 6'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Kyrie Low 2'), ('Nike', 'Ja 1')}"
Detroit Pistons,Malik Beasley,XTEP,Yufeng 3,"{('Li-Ning', 'Wade All City 10 V1'), ('Nike', 'PG 6'), ('Nike', 'LeBron 17'), ('Nike', 'LeBron 15'), ('Nike', 'KD 9'), ('XTEP', 'Battle'), ('Converse', 'All Star BB Shift'), ('XTEP', 'Jlin 2 SE'), ('XTEP', 'Yufeng 3'), ('XTEP', 'ZL1'), ('Nike', 'LeBron 18 Low'), ('361Â°', 'XTEP 361 Unknow'), ('Converse', 'All Star BB Prototype CX')}"
Indiana Pacers,Pascal Siakam,Nike,KD 17,"{('Nike', 'KD 17 Aunt Pearl'), ('Nike', 'KD 12'), ('Nike', 'KD 9'), ('Nike', 'KD 14'), ('Nike', 'KD 16'), ('Nike', 'KD 13'), ('Nike', 'KD 17')}"
Indiana Pacers,Isaiah Jackson,Nike,Nike Kyrie 4,"{('Nike', 'Kyrie 4'), ('Nike', 'Kyrie 2'), ('Nike', 'Kyrie S2 Hybrid'), ('Nike', 'Kyrie 5')}"
Indiana Pacers,T.J. McConnell,Nike,Ja 1,"{('Nike', 'Kyrie Low 5'), ('Nike', 'Hypershift')}"
Indiana Pacers,Aaron Nesmith,New Balance,Two WXY 4,"{('New Balance', 'Two WXY 5'), ('New Balance', 'Two WXY 2'), ('New Balance', 'Two Wxy V3'), ('New Balance', 'Two WXY 4')}"
